Name,pos_m0_1,pos_m0_2,pos_m0_3,pos_m0_4,pos_m0_5,pos_m0_6,pos_m100_1,pos_m100_2,pos_m100_3,pos_m100_4,pos_m100_5,pos_m100_6,pos_m200_1,pos_m200_2,pos_m200_3,pos_m200_4,pos_m200_5,pos_m200_6,pos_m300_1,pos_m300_2,pos_m300_3,pos_m300_4,pos_m300_5,pos_m300_6,pos_m500_1,pos_m500_2,pos_m500_3,pos_m500_4,pos_m500_5,pos_m500_6,pos_m700_1,pos_m700_2,pos_m700_3,pos_m700_4,pos_m700_5,pos_m700_6,TARGET
Polypodine B,132941278.7,123683901,132764388.5,97760444.61,159150276.9,131485370.1,185681641,193165638.5,175772212.4,189146187.4,247933324.3,182233904.9,260769064.7,255785788.5,285310276.1,281005070.6,252812830.9,217023727.1,127260771.1,141185608.7,135228730.7,157856833.2,162069697.5,195950204.2,188642108.4,167056811.8,156161595.7,228457580.5,181016439.1,152285564.7,49171907.56,40641362.7,54300110.26,65457575.87,59288151.82,63116780.95,0
LPC 18:3-SN1,164460182.4,134519055.4,130327303.3,123753601.8,164802215.8,187361533,138265762.3,156167038.8,171208300.6,148732102.3,198972270.1,183418779.2,225861980.8,223204720.4,224473173,219003321,260172468.6,181159241.2,138447477.7,182683074.8,150802399.7,201788743.4,219325818.9,249598972.9,127696014.6,112894988.4,92644054.91,229375925.8,118695187.9,140505728.5,46507281.42,53939665.7,56472057.18,53162404.94,54990179.52,98662309.71,0
"2-methyl-2,3,4,5-tetrahydro-1,5-benzoxazepin-4-one",198796721.7,204940037.9,147783032.9,169505795.1,240155900.8,264834866.1,5271784.375,2953985.527,3729914.182,2774729.417,3204196.972,2717703.828,4017242.593,3551473.391,3086345.911,3355967.616,3985962.829,3079106.844,2647618.979,3235667.016,3899234.117,2579784.532,4696094.408,2585503.112,4261922.563,2451760.864,4466763.654,5613799.368,4697830.034,2986620.94,1952362.603,3179809.13,2716130.441,1524515.463,2433181.012,3252549.731,1
3alpha-Dihydrocadambine,212257047.9,206818908.6,153954866.5,271935534,250924952.9,260161912.3,1722852.567,1573872.863,1512612.53,1699737.09,1516338.974,1601960.815,1524988.555,1540741.199,1605858.179,1437452.996,1451824.645,1592535.061,1985535.646,4504634.664,3062268.944,1974134.639,5190710.794,1359092.698,1110466.262,2722505.591,2395175.993,2513314.12,1773153.631,1113840.566,2063946.13,4129388.308,1966489.141,1178762.038,2209128.644,3271342.601,1
WMH,112051139,77586997.09,115952120.5,85067796.32,136344457.6,100673297.1,190341925.3,196658339.6,164842499.4,200254390.9,170603320.4,193583324.4,107282349.8,173955353.4,167898879.1,164143726.2,145265855.2,171009830.9,191571675.5,174308120.2,188818589.1,197536835.1,184021495.4,180421203.6,288498279.4,371092380.7,295968526.9,293312649.3,276524308.2,304975919,175968220.6,181855087.3,162981060.9,149958751.4,183378608,202281835.2,1
Catechin,213986727.6,166818004.1,175997808.9,193036224.4,253070234.9,221155485.8,163361713.2,155710442.2,169791986.6,162086359.1,172391190.1,154257627.4,142136260.2,125422840.7,148422112.5,133331007.6,134049918.8,139130748,208667164.2,162343643.2,217272464,218210288.6,205408121.7,181983609.2,69176237.28,79136509.14,68982636.63,76284438.62,70503004.39,75611385.52,141355432,109957344.1,91635656.82,104270311.2,117825191.8,135414367,0
2-[2-(methylthio)benzoyl]benzoic acid,135072574.1,146149269.7,100184898.5,125844819.3,137900548.7,105398481.4,128624432.1,130356192,121695663.3,136745565,126168596,124821797.6,207698169.8,208953292.8,213517625.6,112833684,191655908.3,199213802.3,214438300.8,211434938.2,234398935.2,224626505.3,209421347.9,199149657.8,97620883.25,124785030.7,189829293.4,100213372.3,144077264,121535471.7,105671603.5,111662863.7,126020513.4,108870168.3,182799003.9,125985196.6,0
Securinine,87423841.65,41308292.96,115806897,65171358.21,78497764.25,112147146.8,165325577.3,123962432.7,201348632.8,171586354.4,137525992.3,209033829.3,64393684.76,78382813.31,83903224.63,68149649.91,118840772.1,88236417.01,62559126.39,51434325.57,57496659.72,50545351.49,57691037.11,37088895.94,108496560.6,127435881.6,106604540.3,139374280.8,100200998.9,112943043.4,114775762.1,140312714.1,111038297.6,144362551.3,136998727.5,126392358.4,1
5-OxoETE,86144990.87,95496587.9,70296578.04,71028549.12,92994003.44,86960624.7,161757983.6,165875297.2,196392192,171398913.5,196778820.3,195779077.7,150950291.8,145975109.3,148960287.4,169193178.5,182273866.2,139755175.2,120593780.5,159709180.2,134294154.3,145160838.8,160811438.8,185916281.4,208607319.2,188388247.5,177153035,236625952.3,203762515.2,181916134.3,107441768.9,119023238.2,113840516.1,161272963.8,111346611.5,143185442.8,1
"13,14-dihydro-15-keto-tetranor Prostaglandin E2",35996235.91,16732559.56,29654150.54,26218956.74,55162276.88,36843714.83,94560997.18,75378371.95,101723716,82481860.83,72548135.36,76286019.8,46230003.23,57866967.04,54257839.4,55639245.56,76829882.03,56348005.75,39147654.95,56641602.53,56954926.41,61953163.67,56567386.64,57285178.27,265549261.6,199880929.8,183332333.2,239687024.1,259082827.7,216865128,109416415.1,82963958.48,72965240.94,107310924.7,70978497.79,76183575.96,1
