Name,pos_m0_1,pos_m0_2,pos_m0_3,pos_m0_4,pos_m0_5,pos_m0_6,pos_m100_1,pos_m100_2,pos_m100_3,pos_m100_4,pos_m100_5,pos_m100_6,pos_m200_1,pos_m200_2,pos_m200_3,pos_m200_4,pos_m200_5,pos_m200_6,pos_m300_1,pos_m300_2,pos_m300_3,pos_m300_4,pos_m300_5,pos_m300_6,pos_m500_1,pos_m500_2,pos_m500_3,pos_m500_4,pos_m500_5,pos_m500_6,pos_m700_1,pos_m700_2,pos_m700_3,pos_m700_4,pos_m700_5,pos_m700_6,TARGET
1-Methyladenine,5945949.013,8737909.884,4739058.071,3471891.483,4347757.004,2902347.05,5114366.887,2405734.19,3460342.983,3812765.231,3267274.373,3060378.577,3304409.658,4802379.91,4969814.818,1893065.396,3090770.266,2922431.85,2416391.96,2331764.902,2420830.38,2412066.471,2521590.452,3903285.013,2517839.891,2438100.551,2828737.011,2501459.467,2357043.043,2400301.172,2850444.008,2950628.225,2752336.585,2752366.248,2598747.017,2467327.535,0
Picrotoxinin,1800239.089,1770478.531,3647284.58,2126335.687,1461405.793,1570232.573,1855611.28,2248544.355,2479964.096,1869933.663,1943606.935,2238512.656,6667845.767,2015037.287,1636482.439,1708183.167,1731433.179,340190.1407,1823759.294,1955910.893,990373.3718,2190051.051,1921771.392,1942481.878,1513334.447,1169227.935,1160528.694,1204770.186,1248820.659,1242374.445,1762736.479,1729619.225,1356861.532,1248372.11,1333137.535,1555220.893,0
5-Methyluridine,2072598.613,1824971.689,1815991.33,1639135.67,2096670.556,1890479.111,1897628.552,329555.0814,1776668.144,2209949.733,2137015.406,1913243.226,2400668.633,2495724.459,2054833.514,2079423.918,2378548.714,2327949.266,4157977.503,4396130.514,4220289.514,4839526.866,4453476.549,4275402.621,4709963.048,6569507.076,6979861.31,5000189.303,7110601.064,5692763.738,9424743.38,8109143.505,8418074.095,8562699.725,8922792.324,9253384.786,0
Nicotinate ribonucleoside,3772152.115,2732527.112,2830811.065,2483576.046,5398223.365,6023244.349,1995672.056,1175380.586,2048348.146,1567708.29,1215065.891,1462367.997,1432410.578,1116257.206,1429722.389,1132144.244,1290246.242,1492463.43,1354292.705,1394750.16,1468815.614,1588577.031,1486163.029,1476248.308,1437536.449,1302164.51,1614680.174,1385753.064,1402021.029,1416295.701,1729479.563,1787378.245,1563099.21,1398027.469,1390482.131,1277839.012,1
"3-(3,4-dihydroxyphenyl)propanoic acid",3566154.213,3485472.88,3328627.168,2722726.047,2880405.021,3336929.421,2541801.075,2748435.019,2282065.124,2637717.729,2787930.518,2711482.049,2595219.79,2496020.886,2036681.899,2779910.74,3750362.841,2854543.855,2397772.069,3382952.764,3713751.225,4173050.579,4123341.357,2284712.921,4006488.311,5618223.075,5088527.612,3562320.3,5639871.924,5465029.429,4488819.658,3596097.169,5686942.186,6988023.085,6611204.25,9018126.759,0
Stearic Acid,3948057.024,1483368.451,2540662.305,3427818.571,7125348.113,3924740.598,1690864.421,1903669.851,1419742.919,1887562.654,1447078.535,1890674.609,3900335.175,4214570.185,3771588.294,5194950.58,3173985.194,3551979.803,1107571.42,1015476.072,1122295.089,1094466.802,839202.2737,759184.9389,714717.4571,746559.8733,661324.9641,601290.1562,782840.3168,621240.8477,1795566.79,2589164.294,1571256.216,4592637.886,2629186.574,3395586.742,0
Arachidonoyl ethanolamide phosphate,2667122.364,3330532.903,2341994.289,1947833.328,2144072.25,2265585.38,3692082.353,3010682.79,2857351.589,3851396.725,3249573.932,3893538.755,4875589.371,5846264.206,4740869.734,4309730.124,5078180.539,3453942.33,2251878.427,2766318.093,1333641.623,2427255.537,3181697.103,2626962.712,3337474.012,3001006.909,2878859.451,2770184.299,2842823.053,3283007.867,3016434.604,2690498.197,2299746.897,3447863.843,1837108.016,4842591.933,0
Vindoline,5173517.484,5576898.026,5061975.439,6052885.862,6406937.334,5922398.475,5871440.791,4947346.723,4031441.073,5653066.206,4675417.815,4865417.594,4158494.435,4347849.272,3989538.768,3841753.807,3721576.732,3235593.484,5910121.686,3531825.628,4487748.248,4569453.495,6031303.077,3952090.241,3314624.442,3949708.598,6286882.4,4211275.658,4281651.55,4228161.33,4690108.858,4333521.237,4322545.024,4494636.745,3760221.566,4043746.246,0
Pyridoxine,2936909.827,2678391.466,2917037.443,3201790.635,3922588.611,2602664.108,2443562.497,2513999.952,2455666.688,2279682.472,2290161.967,2394866.122,2894844.669,2956116.875,3556012.814,3294574.932,3201853.864,3208788.386,4084644.001,3410761.253,3201457.094,3488333.465,4210752.884,3967923.332,7425220.505,5043295.358,4336149.01,5338409.174,5607706.47,5070534.337,6359302.574,6292154.202,5645372.979,6864221.624,7633252.05,8876291.418,0
Ganoderiol A,1614151.462,2434069.599,1737636.066,2490368.455,1141730.248,2847372.775,4551704.347,2688604.14,5020602.44,6804165.441,5145363.9,4610038.336,2488255.633,2120096.547,1877735.718,2969334.823,2165069.951,1820999.979,3182807.86,3071414.539,4137606.077,2703447.858,2662622.695,3818854.47,1563786.935,2239989.257,2471473.762,1742646.01,2194775.625,2165098.044,2433265.937,3362325.138,4064345.924,3533826.662,3888276.798,5016013.311,1
ERH,520303.1309,751207.4018,501739.1902,544337.695,619802.2422,453435.0005,3976424.913,627293.3595,2021433.081,550500.2552,5487826.988,4501458.627,560029.0834,512439.5356,642151.5612,500249.2567,522087.3269,524698.135,522008.4084,477322.7676,511237.6252,606668.5835,599380.7679,580098.9042,648958.7558,711055.6664,1127897.891,767061.7621,615916.0398,582421.6563,519247.1282,1549321.482,1217783.306,531229.4203,524241.8138,776256.5476,1
Phe-Phe,2418518.517,2191226.125,2066431.906,1324328.586,2557803.984,3300980.518,2857132.716,2364561.736,2543774.728,2743833.515,3825199.708,3213731.751,4353589.218,3422624.855,2646051.538,5364411.238,5514486.238,6148851.676,2134878.896,2207058.736,1308056.397,1299520.805,2524231.684,3587914.032,3703096.208,2731424.282,3094162.722,2586667.512,3962781.295,2330189.959,4230502.378,2621874.696,3768134.044,2928523.688,4528662.315,3585871.047,0
Canthaxanthin,220204.1946,7803648.15,1925976.933,2792078.766,226307.5351,342336.7987,407182.2334,524260.84,522499.8717,872893.8293,816340.4317,1806793.055,1339504.939,1022024.853,1275353.76,972929.6732,1344808.357,295740.8088,1089871.522,1684667.837,429586.144,287501.7186,213030.9089,351969.8331,281613.3622,723625.2751,621082.6649,385886.355,488587.443,460337.5919,279814.6423,493343.8269,1261375.866,713319.206,1759778.235,1045425.221,0
"(1E,4E)-1,5-bis(4-methoxyphenyl)penta-1,4-dien-3-one",3890880.948,2542164.537,3608489.582,2493839.998,3741687.341,2888875.169,3114522.083,3112907.087,3478529.51,2268298.611,3788311.414,5646289.413,2735750.463,3399581.483,3194515.074,4156593.15,5360211.766,3700232.593,2724922.998,2795987.545,2609231.187,3011742.371,3001163.026,3260855.454,5399716.836,4829939.501,4402116.442,3605356.368,4034857.398,5071535.722,5417913.587,5948066.188,3190425.841,3000792.01,4064871.244,5740979.229,0
Testosterone,1722613.759,2410817.021,2378674.926,2000803.763,2578316.552,2260338.696,2361067.176,3053290.759,2964943.753,2903459.757,2927454.715,2221840.961,3155850.41,3171460.728,3923107.386,3883931.059,4311790.062,2977146.15,3704098.49,2864172.854,3592482.953,4323314.209,3493620.564,3863746.798,5662218.784,5402164.897,5083273.166,5875447.423,7491107.688,5476959.544,4660042.952,4104998.386,3188426.324,3974795.759,2643052.703,3542537.095,0
Paliperidone,4410405.037,2081087.705,6292556.606,2890608.972,4267544.318,5384636.156,2495588.285,3612178.757,2958642.209,2730000.455,2737969.539,2350504.335,2113436.393,2164658.113,2309557.406,814302.431,1796910.895,1522477.25,2011273.877,1584812.05,1723317.106,1697990.493,1750043.533,973832.2914,2237573.654,2353960.659,2502308.982,2976916.104,3092712.444,2552061.248,751452.5294,1424992.42,1304870.299,1251447.201,952478.2554,1345582.717,0
"3-(3,4,5-trimethoxyphenyl)propanoic acid",2569258.703,5570581.771,3117707.988,3628710.028,2949052.568,3334040.206,3716871.794,2874115.259,2837555.363,3243148.14,2378498.199,2989781.945,3967304.254,2135859.317,3591319.226,2592456.901,2502942.553,2804311.092,3252797.082,2507812.753,2467316.485,3514129.084,3127131.81,3280532.006,3197912.355,8780071.714,4189157.707,3225857.735,3669186.71,3042444.182,3444252.901,4619707.332,3793652.59,4469776.299,3409057.047,3843681.235,0
Linoleic acid,451693.5669,1282400.471,848066.5685,797390.3665,690097.7655,782349.2101,1608650.589,1290610.758,2189558.814,2937422.04,2655143.302,1225374.527,5896284.71,2124591.287,3760892.094,3054338.551,3180874.592,2062518.781,1791172.763,2398045.025,1274207.635,1325233.419,1821947.427,1170300.624,3260867.575,4511306.521,2287884.426,4126937.723,3176942.887,4238562.626,711055.3703,1474838.29,1877828.975,1545440.724,599896.9752,1978379.12,1
"2-hydroxy-6-[(8Z,11Z)-pentadeca-8,11,14-trien-1-yl]benzoic acid",674876.3386,746705.625,713367.1433,605692.3238,793632.0824,844282.4969,1070328.763,1698159.218,1300257.329,1242001.403,983830.5283,2216714.461,1102021.426,814476.0346,728721.1507,1169306.275,924067.55,778731.3694,1167940.81,1278708.081,1139639.179,878441.393,1217482.395,1648650.349,2840630.544,1702195.032,1569173.276,1894280.923,3060478.263,3170630.01,6767618.937,6190416.91,5663437.961,8536674.434,7758551.061,5015103.488,0
2-Ethyl-3-hydroxy-4H-pyran-4-one,5964737.279,2842458.021,2599993.546,2267889.233,2662630.03,2236226.931,1775532.111,2815321.277,2192044.324,2449494.046,4161581.933,2512421.913,2929409.222,2806489.628,2583730.826,2201890.731,1996784.05,5977490.568,2714821.735,2340776.138,2364412.835,1615468.341,2167901.48,1995124.117,2782350.779,2025049.028,2360682.876,2231166.953,2751785.293,3185981.41,3457049.402,2989814.131,2586139.264,1854058.274,3297873.571,2566383.061,0
Azetidine-2-carboxylic acid,877836.5424,981852.7883,1479167.671,1120763.434,5280085.67,1000597.241,4223215.307,965636.9236,744980.8019,802972.7166,1379319.916,1091884.93,703448.1822,811416.3044,888763.6919,1063596.817,920530.8392,833572.5791,3022964.59,2357231.106,2621770.675,5544035.844,1864385.829,2412624.376,4114413.74,6234436.889,4878980.087,5239911.264,5784138.163,4718563.89,3346759.046,4741225.587,2890019.352,3823122.241,4149927.558,3711296.229,0
Coixol,4019117.129,2879970.232,3730219.227,3270065.214,4451532.729,3404637.052,4166345.957,3650922.977,3374390.723,3950635.132,4306620.76,3487332.754,3619925.419,3390264.154,3570910.11,3104849.872,3614235.903,3251499.406,3306332.902,3121032.838,3635429.268,3884796.541,3472320.93,5395038.424,4062337.833,5543856.706,4510168.403,5513801.814,4807571.709,4764094.108,5216416.083,5119756.655,4907733.221,4525223.683,5313742.243,5959737.09,0
"6,6-dimethyl-4-piperidino-5,6-dihydro-2H-thiine-2-thione",2452216.142,2389133.089,2312784.032,2733897.616,2917487.715,2195461.848,2569904.278,2181339.104,2115357.199,2613970.67,2172268.131,2309653.612,1015429.543,1108872.417,3178098.218,455406.6172,1968927.026,2603431.909,2182837.529,1041798.606,2084964.778,1995586.82,2913761.795,1947837.376,4274505.959,2863437.165,3177830.483,3515087.841,3907583.807,3245915.328,4000997.828,5017067.622,5732344.126,5439057.736,5090453.522,7939702.314,0
Phylloquinone,1727997.284,3553076.931,2316508.309,3289668.478,1712642.291,1624742.106,3769035.92,2742519.794,4061472.407,4868420.365,4431489.233,5775874.438,2170010.38,2111235.18,2801628.709,2017569.063,1740583.259,1449009.007,3892934.356,4133472.391,2659024.507,2296877.615,2335942.847,2778395.719,1697498.927,2324235.536,2565786.541,2209110.149,1850394.756,2195150.803,1752963.107,2902959.527,4802604.539,4210405.124,2580279.697,4887638.796,1
ethyl 4-({[(3-morpholinopropyl)amino]carbothioyl}amino)benzoate,5078297.498,2781824.377,2328287.3,3604035.334,6243051.771,4445089.003,1710948.333,1450689.76,2030018.908,2058483.46,1812687.675,1602055.726,1382250.038,1478449.431,1473717.471,1368528.345,934466.4961,1239877.353,1203280.529,1162324.952,1099919.987,1369871.384,1184994.515,1120464.219,505060.4409,907257.8766,889372.5957,1052466.202,923523.5515,1068752.534,890052.1199,896506.8594,736085.7371,628738.0873,634498.828,749406.1649,1
"1-(2-furyl)pentane-1,4-dione",5175975.916,4984069.025,4237423.676,5005951.83,5320349.375,4041855.003,4504476.74,4094380.998,4888778.835,4271570.243,4347975.343,3718574.35,4085696.719,3600351.702,1323137.477,3374728.451,3488562.04,2987223.529,3492289.4,4141108.028,4489806.71,4854518.165,4137168.522,3749106.351,4297599.064,3903456.764,3731587.68,3928934.861,3992028.097,3217376.603,4292711.283,4652994.758,4639955.201,4537312.621,4025510.95,4734579.427,0
Narasin,2184541.661,2503354.781,1277046.486,964914.0137,1211281.205,1509617.024,1589666.638,1451351.443,4834593.91,2047842.489,1003057.256,1674150.546,989324.35,693271.3396,1247549.512,1087631.592,860871.9306,421659.3995,1621392.044,711755.8994,1074449.142,594332.942,1379474.24,923276.5997,773887.3114,954930.843,996418.55,3513260.925,828414.1501,948110.4922,1144290.84,1159644.721,1642525.508,2155048.059,1595736.564,2154018.291,0
Stachydrine,3650110.343,3753151.511,4829936.604,4959609.725,4504937.943,3958782.443,3682226.308,4272751.799,4078771.848,3270076.98,3025683.281,3246192.124,4570893.993,4930561.62,4370858.233,3188386.58,4132502.985,3529055.49,4097143.087,4655316.702,3044930.934,4885819.648,3335568.753,4067655.104,2679298.122,2275229.362,2570804.232,2279728.636,2727457.841,2006678.656,5014815.161,5382741.686,6423390.343,5002332.372,4625113.458,4407248.712,0
Maslinic acid,3288529.065,4052843.208,4109872.448,4255345.848,3114500.773,3817344.069,4674896.376,4655852.959,4187842.957,4659951.047,4713265.604,4706946.91,2804556.583,2851119.334,3548557.51,2446771.82,2515240.999,1769013.114,4505484.914,4859044.373,3639408.52,4015817.294,3706959.8,4027245.171,1446159.646,1841185.079,1606500.051,1635198.56,1553667.947,1760999.901,2326597.472,2776627.303,3182027.482,2506444.712,3368686.708,4651423.4,0
Vitamin B1,3053385.989,3075121.293,2783164.051,3002104.752,4373844.223,3229074.206,3752850.034,3556790.141,3564337.974,3324157.668,2983484.507,2846087.125,939953.4557,829858.3992,1429488.06,741055.9999,783908.2499,898735.8776,5690138.883,4677193.378,6087370.356,3813249.927,4666748.419,4146368.707,3083140.595,4142179.392,3713934.932,3781685.999,3264985.067,4185054.969,4202030.82,5355463.056,4877455.472,3878283.44,5517667.057,4764757.752,0
Methylophiopogonanone A,3978593.602,3321652.239,3417482.491,3845968.354,4361030.295,3315091.138,3346077.26,3169481.154,2937754.795,3301183.011,2944992.194,3111284.598,3310675.49,2992385.529,4201489.935,3015228.083,4451603.151,3092978.155,3454273.78,2537490.838,4157905.226,4155063.749,3207683.056,5020400.478,3568870.015,2493538.385,3456811.924,3674365.229,2823418.688,2950654.327,3665310.435,3061641.556,2580946.713,3124665.095,5274757.63,3193527.237,0
Aloenin,3541872.934,4801889.591,3462907.49,3790244.951,4216990.634,4921308.966,2404629.814,2953693.856,2075819.112,2352701.527,2906270.306,3026065.56,1618893.938,3554744.138,2141968.323,1874797.763,2617170.149,1920715.144,4728779.006,1825185.449,4602099.998,2938844.885,968859.3705,3292625.866,2730316.286,2826791.908,2534743.873,1707309.232,4285396.351,1734493.336,2263418.797,2624633.733,2805743.719,1707442.695,4150078.093,2395068.311,1
"trans,trans-2,4-Heptadienal",2171681.675,2521332.39,2313193.897,2506338.653,1664899.927,1439103.459,2066214.509,1904447.789,1625105.745,2854276.34,2186291.167,2340323.766,2255567.483,3133137.34,2382754.516,2394546.254,1415571.042,1005862.043,3009275.37,3567954.55,1802722.591,2120429.02,2168571.277,1847291.962,2499766.726,3334960.566,2885434.417,2252157.354,3143713.163,3220918.206,3641807.062,3605759.609,6148377.782,7571796.726,5859190.861,5329876.46,0
L-Kynurenine,1937650.406,1910773.563,1990690.208,1889792.388,3030884.554,2062627.749,1538571.055,1663231.3,1633051.93,1372759.003,1387592.72,1208549.521,1505501.081,1333639.07,1676665.243,1467246.799,1444705.599,1341602.537,3128988.585,1291726.995,1832243.118,1602455.534,1680035.662,1487240.578,2821799.815,1734460.615,1407492.334,3531812.163,1731231.947,1669185.752,1321762.854,1416469.766,7997058.672,1187093.634,1448832.601,1687190.71,0
Kirenol,3585879.478,2640938.937,2677581.491,2572803.449,3332609.139,2761389.082,4007523.905,3367523.526,4550114.691,3745435.23,4073617.967,4019467.722,2501306.729,2810581.208,2612158.935,3343029.713,2758431.555,2857434.821,3022577.825,3177245.164,2803743.326,3708825.796,3053057.307,3572203.982,4250107.871,2951739.178,3350620.818,2820168.491,3596255.485,3414905.833,2375606.071,1486419.019,1487856.047,1971178.867,2047446.564,2276910.973,0
Threonyl carbamoyl adenosine,3156858.488,3712105.509,4200815.154,3713485.685,4846253.368,3367642.205,3971453.173,3904008.715,4521955.118,3842303.523,3940331.438,4267610.002,1714365.576,2945942.775,2666181.058,2479867.448,2769574.251,3231426.517,3833499.426,3386568.524,2871649.991,2800895.698,2830633.387,2914683.633,3451518.694,3072528.384,3539948.298,2437129.914,2996791.144,3350194.441,4293930.48,3121106.458,2294973.731,3174220.599,3394853.232,3302059.949,0
4-Guanidinobutanoic acid,5025670.785,5945738.355,4859174.738,5873168.424,4658999.488,4040351.986,2238324.73,3230256.868,2474563.316,2835390.489,1939623.146,2978219.301,2936524.288,3940783.707,3633272.544,3368774.334,2962700.273,1430200.885,5397049.206,2134510.18,2357378.78,2055690.768,2088519.68,1799666.323,3987166.618,5165818.315,3073384.472,4319189.346,4172857.769,3340249.186,5995095.779,4068419.9,7798410.525,6031762.391,5159185.608,5281223.503,1
Isoliquiritin,1919419.855,1996995.358,1871026.831,1808697.605,2042887.395,1619424.762,1986371.175,1808107.611,4509681.72,1606206.585,2400640.655,2265187.006,1930915.5,1495497.558,2045726.203,1804778.789,1923970.611,1671646.54,2234240.388,1684026.756,2782060.38,2495961.924,1640344.849,2313526.719,1770174.493,3244513.397,1810039.844,1749122.258,1766778.758,2146474.382,2938370.232,2561655.386,2852566.78,2369100.447,2657940.077,2156313.726,0
LPC 17:0-SN1,1541698.113,2344646.753,1449663.5,1468396.55,1458819.656,1753097.404,2068932.374,1666493.317,2326614.139,2616067.464,4440813.493,2785659.35,1994630.505,2265417.696,2827063.687,3544168.082,2427635.127,1891736.926,1299290.567,2580318.184,1870720.226,3346578.756,2209641.19,2341599.173,1883133.949,3689775.282,2687234.878,4492483.89,2398024.204,1934911.942,432482.87,923563.6376,1372430.802,1390270.594,1066619.144,2574028.43,0
p-Aminocinnamic acid,3892110.406,4323903.466,3586141.495,3461655.43,5256263.49,4649053.418,1157938.909,1159010.458,1559176.445,856039.9097,1315752.009,1034165.425,832043.0651,1021677.23,974378.8676,853989.0529,845644.5435,1120599.718,1024744.229,1049774.342,1237984.22,1003774.873,998674.8156,867952.9846,1157167.991,1144709.114,1301922.764,1191447.107,1178380.511,1493264.069,1206592.78,966982.1502,1254093.982,929811.4525,1074820.964,1069239.261,1
Coumarin 151,4256871.314,4338604.366,3930701.57,4266207.717,4426592.513,3610064.152,4536466.667,4340946.999,3914163.372,4760567.163,4346750.463,4468695.526,4476232.054,4263659.151,4019660.943,3687320.999,3841469.918,4022453.54,3922512.76,3778111.75,3999230.875,4014193.429,3776108.887,3876945.674,3547966.148,3659258.863,3481197.763,3251877.63,3491285.717,3288641.149,5003292.653,4840692.48,4750382.022,4750935.874,5023584.135,4762446.234,0
trans-Zeatin-riboside,1213673.604,1551500.712,1056043.059,2064121.896,1324079.094,1108876.821,3301057.663,3105632.439,3564833.994,3502186.995,4225626.438,2473226.531,2369672.799,1966473.343,2553381.057,2531306.548,1624221.775,1802188.343,1890556,1862347.665,2679491.078,1825851.618,1544750.385,1784964.988,2826719.031,2974940.767,2527306.697,2482531.985,1813875.422,3113647.576,2688352.368,3326130.094,3423066.904,2596264.295,3380421.119,3595437.541,1
3-Indolepropionic acid,3800201.721,3757038.46,4233554.677,3029199.517,3589043.604,3435686.167,4292045.638,4857343.706,3780173.859,3994786.48,4009536.074,4230219.89,2966514.695,1860118.626,3448794.59,3040789.385,3020537.694,2858003.479,3186102.464,2029837.525,3483818.742,2785518.045,3097833.259,2606829.997,2977945.316,2865914.858,3217045.893,3194557.1,3459327.233,2739552.187,4256083.992,3708591.181,3403649.975,2527495.026,2091435.896,3552211.423,0
Protosappanin B,3259841.27,2991761.957,2437981.588,2497552.412,4120870.681,2640050.097,4859070.04,3241650.056,3582163.152,3925763.869,4021151.739,3758167.266,2589048.101,2657040.417,2422756.535,2448755.086,2679595.732,2678682.367,2859835.272,2285889.511,2909353.76,2968804.464,3123317.471,2429559.887,2261148.823,2005161.961,2510397.996,2099476.33,2158257.736,2151318.165,2927391.441,2956914.38,2688622.481,2624424.477,1296198.951,3436171.021,0
Deoxyarbutin,2336089.925,3014363.85,2101703.955,2315975.743,1110042.948,2204007.575,1944641.513,2167665.031,4198050.215,2890450.922,3623508.324,3137130.952,3130336.157,3083182.522,3616076.948,2565748.527,2429469.248,3368983.26,2686378.666,3081552.743,2319580.208,2283855.603,2304237.792,1237696.35,3730099.531,3268091.163,2788225.796,3255678.557,2842208.851,2424703.957,5459660.249,3308924.281,5001861.377,4142027.04,5136732.102,3351234.651,0
L-Leucyl-L-alanine Hydrate,805378.7143,550666.996,363329.6001,362717.6716,1008632.827,1040430.701,682302.5048,1115921.067,1106918.027,879087.0991,1635964.105,1475409.067,1466232.156,1793540.429,1846569.553,3905245.118,4152232.875,2941812.483,424694.4249,625547.6353,400522.0544,486830.2199,702658.9648,1245214.262,506665.7167,939653.4057,1036861.453,904897.4338,1204281.893,1197921.935,1378190.177,1405038.891,1289072.92,1275555.154,1619752.711,1284971.849,0
4-Hydroxymephenytoin,2308091.701,3089821.373,2036902.133,3344425.738,2197466.932,1930962.691,1512293.917,1381521.787,1327748.393,1492003.501,1346945.383,1406176.967,1387068.374,1352439.313,1409598.013,1261774.491,1274389.708,1397903.182,4603059.831,2472016.229,4180339.66,4225728.632,1147540.219,4346991.331,1737624.108,1738080.066,2224667.481,1978768.21,4270258.808,1813096.13,2017582.737,2846805.479,2612849.405,1701857.093,1760721.358,2135467.118,1
Alisol B 23-acetate,1689076.315,5789420.451,3188695.294,1772482.746,905504.0686,1778992.194,1562465.237,1092769.146,1119263.958,1684665.167,1622702.738,1686652.343,3073037.036,3821915.989,2542781.412,2104526.719,2080183.117,1976460.857,1692592.197,2176700.433,1081390.639,1138569.71,1769501.844,1627827.661,769374.7561,1039254.763,841439.223,1369576.529,1043183.421,808676.2748,691106.499,874203.3162,1643877.019,1027239.908,1105183.356,1404845.22,0
methyl 4-methyl-2-oxo-2H-pyran-6-carboxylate,2135130.441,3011060.471,2235213.684,1811415.973,2524722.658,2631575.759,2450883.333,2149186.712,2280720.923,2763138.847,2088913.726,3193909.861,3334155.74,2855963.559,3522720.836,1974645.823,2702521.027,2123617.615,2805664.047,2707449.167,3026395.913,4387705.064,2630256.758,2537932.615,4821519.996,4253041.431,3798850.131,3563901.754,3525510.353,3500037.631,4142409.441,4655107.848,3996809.06,4653686.511,4692011.249,3369291.388,0
13-α-(21)-Epoxyeurycomanone,3727807.246,3404991.68,4181131.62,4035822.04,4992233.247,3993945.119,1844880.321,3476375.55,3236669.734,2782716.095,1473700.845,3283385.714,1052916.47,1416322.938,1105532.636,1644129.997,1748461.938,2138510.13,2470028.056,2482164.784,2989060.955,2173884.317,2282840.816,2398816.941,1553940.356,455581.5527,2374973.531,1964422.883,2498224.19,1228391.759,624805.7173,822603.6789,2156259.827,579524.5203,654747.5537,994413.6479,0
tetranor-12(R)-HETE,1313076.719,1267678.274,2008216.442,1322442.366,914699.7394,879369.6171,1615526.226,1928115.342,756745.1571,1886705.847,1456589.365,1872758.825,1512956.952,1105816.888,1378605.556,3932597.364,1591013.733,2327263.874,1778842.844,1415138.649,1683059.902,1569489.489,1312787.652,1688055.895,1778508.994,1996089.06,2426893.031,1825595.057,2616461.197,2006488.943,1824759.852,1554794.193,1075046.484,668933.4749,1035737.044,1250037.995,0
Arecoline,3304532.792,3815870.1,2737706.936,4231804.846,4324764.53,2495466.729,2823981.271,2715756.04,2930657.926,2635730.793,2559695.098,2484112.088,2450355.394,2389180.684,2490155.611,2229014.798,2251300.479,3356473.242,3460178.399,2426003.652,3262245.15,2504323.902,4464163.983,2562045.809,3705513.589,2003132.23,2097419.812,2502018.986,1837000.065,2350094.568,2167771.568,2466570.911,2915987.796,2012304.461,2222777.591,2228752.225,0
N'-p-coumaroylspermine,2813676.274,2744492.282,2030691.158,2472274.391,2537595.361,2028944.9,3551322.714,3496216.073,3927210.002,2328768.59,3430039.117,2150059.908,1930154.851,2129633.908,2490097.913,2150528.87,1489647.27,733173.7058,2780960.741,3758078.93,3262174.07,4134222.77,3590378.089,2977067.44,2191363.734,2402635.005,2414513.28,2200637.511,2659587.061,3610088.455,4629120.587,3005474.025,2174003.482,3499377.951,2562778.331,3253120.601,0
Lysopc 20:0,693919.955,2013291.63,1116049.996,1080777.513,511199.975,806158.5092,1048118.909,639883.8453,1259271.541,1577927.389,1922195.163,1536755.329,3424912.349,3958953.611,4328203.351,3310234.574,3865083.225,2292639.759,912825.9482,1525776.642,685259.136,807782.6076,1161058.278,1062515.188,1309447.4,2791637,1704900.77,2797482.566,1979097.374,1808887.346,231240.9418,335997.7365,407036.503,473186.142,222396.6508,567571.4978,0
Petunidin 3-O-rutinoside,1893467.877,1581372.448,1850408.963,1881628.452,2019870.798,1284364.13,2457993.901,2270009.668,2135316.24,2174007.894,2599047.282,2108665.802,2409239.959,2438015.392,2514659.039,2783273.766,2302824.602,2734203.554,3156453.595,3655313.318,2856261.909,4130264.539,4353000.123,2559571.58,746212.264,878642.5874,994161.8011,1264438.381,920799.8874,595589.0221,1814672.727,1364335.533,1649787.799,1538624.753,1350034.429,1517615.121,0
Docosatrienoic acid,946871.9879,5385664.463,1628902.974,2365496.479,632952.0021,713391.2749,907994.646,639733.8781,950803.4517,1433983.677,1240318.341,1599238.342,2981921.702,2506300.577,3217895.591,2419113.407,2675521.398,1294695.096,1662445.722,1656401.541,1058592.254,967816.2888,997916.6096,1765899.52,938129.7161,1327645.954,1139704.181,1332456.211,756630.8675,1536631.739,532571.8237,946319.1549,1747195.163,1243118.076,2290286.643,1997872.706,0
R-Notoginsenoside R2,464201.3051,405939.9008,649860.9228,457233.3267,447639.979,418314.0284,427355.1281,423382.4235,1501905.514,511914.0614,500228.6806,447204.7058,695853.0173,459709.5458,532240.5662,428718.1166,463135.9226,499696.3779,408860.0348,427960.6058,377327.8374,492401.8115,381127.6026,403643.3373,449470.0261,467117.118,467864.2163,4888695.517,461530.5171,412899.6267,912400.1424,397968.7025,537674.1982,350484.6859,349996.2832,396456.0761,0
Berbamine,2627217.445,4797983.28,3349384.752,3454766.482,3324763.382,2578497.252,1881578.88,1735594.88,1693925.664,2084912.33,2239750.325,2399436.338,4099218.56,3554521.467,3987014.475,3745945.13,3666483.859,3159506.804,3321737.645,3784153.743,3263562.087,3499597.802,3958535.794,3535405.72,2091823.376,2939423.099,2131923.916,2235910.117,2469770.406,2251423.905,2602119.071,1121657.624,2747553.145,2450747.016,2843883.637,2725557.416,1
L-Dopa,3714777.699,2539738.52,2091445.279,2615370.436,4716795.741,2360083.823,2725978.282,3101337.383,3370983.651,2549234.719,2610505.311,2922080.065,1643852.47,1455720.931,1546498.886,1519616.047,1488743.458,1594099.081,1038259.017,1497770.831,833719.1706,1219347.818,1174563.694,1335781.336,1320453.367,1940257.04,1638055.263,1338953.519,1659281.848,1588860.974,1940986.042,1793630.161,1704744.371,1471252.002,1777182.944,1406054.335,0
